epoch,train_loss,val_loss,precision,recall,map,best_map,early_stop_counter
1,70.4216,59.7441,0.0687,0.0673,0.0680,0.0680,0
2,51.4974,48.2769,0.0885,0.0866,0.0876,0.0876,0
3,41.4475,41.8182,0.1550,0.1518,0.1534,0.1534,0
4,35.7312,40.5104,0.1668,0.1633,0.1650,0.1650,0
5,32.0669,36.1743,0.2209,0.2163,0.2186,0.2186,0
6,29.5566,35.0119,0.2093,0.2050,0.2072,0.2186,1
7,27.5519,33.5220,0.2351,0.2303,0.2327,0.2327,0
8,25.8522,32.1600,0.2598,0.2545,0.2571,0.2571,0
9,24.2287,32.0116,0.2524,0.2472,0.2498,0.2571,1
10,22.9996,30.8809,0.2739,0.2682,0.2710,0.2710,0
11,21.8284,31.1580,0.2536,0.2484,0.2510,0.2710,1
12,20.7714,30.4338,0.2807,0.2749,0.2778,0.2778,0
13,19.9546,29.6877,0.3056,0.2993,0.3025,0.3025,0
14,18.9426,29.3471,0.2993,0.2931,0.2962,0.3025,1
15,18.2494,29.1582,0.3149,0.3084,0.3117,0.3117,0
16,17.5518,28.2922,0.3348,0.3279,0.3313,0.3313,0
17,16.9286,29.2549,0.3066,0.3003,0.3034,0.3313,1
18,16.1971,29.3182,0.3260,0.3192,0.3226,0.3313,2
19,15.7642,28.9136,0.3267,0.3200,0.3233,0.3313,3
20,15.1785,28.8204,0.2595,0.2541,0.2568,0.3313,4
21,14.7399,27.5933,0.3213,0.3146,0.3179,0.3313,5
22,14.2153,28.0359,0.3479,0.3407,0.3443,0.3443,0
23,13.8259,27.5692,0.3250,0.3183,0.3216,0.3443,1
24,13.3785,26.9988,0.3710,0.3633,0.3672,0.3672,0
25,12.9387,26.8953,0.3703,0.3626,0.3664,0.3672,1
26,12.6846,27.0181,0.3567,0.3494,0.3531,0.3672,2
27,12.2941,26.7855,0.3737,0.3660,0.3699,0.3699,0
28,11.9954,27.4198,0.3512,0.3439,0.3475,0.3699,1
29,11.6113,27.1148,0.3301,0.3232,0.3267,0.3699,2
30,11.3624,26.3926,0.3787,0.3709,0.3748,0.3748,0
31,11.1158,26.4314,0.3807,0.3728,0.3768,0.3768,0
32,10.7749,26.4089,0.3783,0.3705,0.3744,0.3768,1
33,10.5015,27.2010,0.3571,0.3497,0.3534,0.3768,2
34,10.2500,26.8537,0.3400,0.3330,0.3365,0.3768,3
35,10.0499,26.7617,0.3495,0.3423,0.3459,0.3768,4
36,9.8674,26.1602,0.3765,0.3687,0.3726,0.3768,5
37,9.6853,26.8258,0.3616,0.3541,0.3578,0.3768,6
38,9.4068,26.3715,0.3491,0.3418,0.3454,0.3768,7
39,9.2631,26.4697,0.3730,0.3653,0.3691,0.3768,8
40,9.1022,26.4350,0.3710,0.3633,0.3672,0.3768,9
41,8.8743,26.4177,0.3689,0.3613,0.3651,0.3768,10
42,8.7170,25.9425,0.3693,0.3616,0.3655,0.3768,11
43,8.6483,26.3903,0.3706,0.3630,0.3668,0.3768,12
44,8.4666,25.8901,0.3958,0.3877,0.3917,0.3917,0
45,8.2838,26.7562,0.3554,0.3480,0.3517,0.3917,1
46,8.1078,26.3424,0.3745,0.3668,0.3706,0.3917,2
47,8.0688,26.2183,0.3741,0.3664,0.3703,0.3917,3
48,7.9117,26.3526,0.3600,0.3525,0.3563,0.3917,4
49,7.8446,25.8338,0.3866,0.3787,0.3827,0.3917,5
