epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,1684.07,1.61655,1.39662,1.54475,0.74344,0.57893,0.65277,0.28113,1.90011,1.44167,1.84549,0.0700063,0.00333263,0.00333263
2,3329.06,1.45607,1.16793,1.44771,0.89189,0.78624,0.86919,0.44963,1.58543,0.92691,1.66028,0.0399403,0.00659997,0.00659997
3,4967.54,1.3574,1.03591,1.38005,0.89368,0.78624,0.87813,0.46995,1.51131,0.89891,1.59605,0.00980834,0.00980131,0.00980131
4,6611.37,1.2775,0.92438,1.32484,0.90586,0.82789,0.90239,0.48843,1.502,0.80636,1.59307,0.009703,0.009703,0.009703
5,8255.51,1.24055,0.86657,1.29824,0.90147,0.83898,0.90773,0.50205,1.48642,0.76798,1.57334,0.009604,0.009604,0.009604
6,9898.53,1.20111,0.8201,1.27714,0.92017,0.86282,0.9225,0.51561,1.45764,0.69631,1.56702,0.009505,0.009505,0.009505
7,11539.2,1.16517,0.77532,1.2553,0.91707,0.86985,0.92439,0.51922,1.44517,0.6665,1.56859,0.009406,0.009406,0.009406
8,13179.7,1.1365,0.74048,1.23254,0.92835,0.88006,0.93286,0.53205,1.41769,0.64154,1.54515,0.009307,0.009307,0.009307
9,14820.4,1.11858,0.72804,1.22601,0.92665,0.88541,0.93452,0.53649,1.41483,0.63721,1.53223,0.009208,0.009208,0.009208
10,16460.1,1.10309,0.70869,1.21525,0.92906,0.88812,0.93514,0.54193,1.39099,0.61945,1.51904,0.009109,0.009109,0.009109
11,18088.1,1.08865,0.68467,1.20482,0.93529,0.89172,0.93661,0.54636,1.39437,0.60996,1.51086,0.00901,0.00901,0.00901
12,19710.1,1.07219,0.66581,1.19627,0.92461,0.88577,0.93193,0.53851,1.39054,0.62174,1.51161,0.008911,0.008911,0.008911
13,21331.2,1.05647,0.65086,1.18911,0.9249,0.88146,0.93085,0.54072,1.381,0.61563,1.50345,0.008812,0.008812,0.008812
14,22956.3,1.04601,0.63749,1.18213,0.92545,0.88553,0.93262,0.54321,1.37828,0.61648,1.5059,0.008713,0.008713,0.008713
15,24574.4,1.03654,0.62639,1.17106,0.93045,0.87653,0.93096,0.5435,1.38861,0.61629,1.51161,0.008614,0.008614,0.008614
16,26192.1,1.01938,0.62039,1.16563,0.94386,0.87246,0.93099,0.55299,1.38822,0.60321,1.49862,0.008515,0.008515,0.008515
17,27810.5,1.01455,0.60701,1.16624,0.94181,0.66849,0.77701,0.46914,1.60157,1.09794,1.56453,0.008416,0.008416,0.008416
18,29429.1,1.00636,0.60103,1.15791,0.95181,0.6577,0.7914,0.48873,1.5574,0.94002,1.51762,0.008317,0.008317,0.008317
19,31049.1,1.00147,0.59127,1.15468,0.93021,0.66083,0.8067,0.50336,1.43779,1.06498,1.39009,0.008218,0.008218,0.008218
20,32670.3,0.9948,0.587,1.14859,0.97611,0.57103,0.77226,0.49191,1.37732,1.95097,1.31957,0.008119,0.008119,0.008119
21,34287.1,0.98768,0.58215,1.1478,0.99179,0.0734,0.53259,0.37925,1.29115,5.75501,1.27064,0.00802,0.00802,0.00802
