epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,2199.23,2.83379,4.12793,2.75939,0.87338,0.78908,0.85264,0.45392,1.34914,9.87862,0.94173,0.00333288,0.00333288,0.00333288
2,4344.12,1.63787,1.18669,1.4457,0.89127,0.86151,0.91464,0.51449,1.22787,9.45835,0.87691,0.00653422,0.00653422,0.00653422
3,6470.51,1.53604,1.05808,1.36988,0.89864,0.87092,0.92035,0.51697,1.23288,8.72641,0.87041,0.00960356,0.00960356,0.00960356
4,8605.83,1.46492,0.97529,1.32659,0.90856,0.88727,0.93154,0.54897,1.15905,8.01242,0.84391,0.009406,0.009406,0.009406
5,10750.7,1.3979,0.88952,1.28052,0.9114,0.89319,0.93521,0.57647,1.08778,8.20794,0.82571,0.009208,0.009208,0.009208
6,12884.7,1.35878,0.83963,1.25663,0.91435,0.89796,0.93904,0.58198,1.07707,7.24289,0.8219,0.00901,0.00901,0.00901
7,15036.4,1.33698,0.81205,1.2439,0.91679,0.89867,0.94134,0.58485,1.07317,6.77629,0.8201,0.008812,0.008812,0.008812
8,17198.3,1.32069,0.79311,1.23586,0.91928,0.8995,0.94374,0.587,1.06969,6.42985,0.8183,0.008614,0.008614,0.008614
9,19352.3,1.30507,0.77345,1.22614,0.91981,0.90008,0.94443,0.58741,1.06657,6.27684,0.81691,0.008416,0.008416,0.008416
10,21501.9,1.29551,0.75648,1.21915,0.92391,0.89896,0.94594,0.58854,1.06382,5.98168,0.81567,0.008218,0.008218,0.008218
11,23666.1,1.2858,0.74808,1.21339,0.92408,0.90124,0.94737,0.58918,1.06274,5.69304,0.81462,0.00802,0.00802,0.00802
12,25813.1,1.27369,0.73255,1.20682,0.92316,0.90439,0.94904,0.59047,1.06035,5.42673,0.81362,0.007822,0.007822,0.007822
13,27970.3,1.26913,0.72572,1.20544,0.92099,0.9102,0.95015,0.59177,1.05874,5.33536,0.81258,0.007624,0.007624,0.007624
14,30115.4,1.25946,0.71748,1.19702,0.92184,0.91003,0.95099,0.59262,1.05664,5.4332,0.81153,0.007426,0.007426,0.007426
15,32264.5,1.25793,0.71032,1.19554,0.92318,0.911,0.95205,0.59404,1.05399,5.50935,0.8105,0.007228,0.007228,0.007228
16,34409.2,1.25085,0.70254,1.18869,0.92617,0.91108,0.95323,0.59614,1.05033,5.56938,0.80903,0.00703,0.00703,0.00703
17,36556.5,1.2433,0.69712,1.18709,0.92563,0.91385,0.95373,0.59733,1.04737,5.59252,0.80785,0.006832,0.006832,0.006832
18,2154.14,1.25304,0.70658,1.19304,0.92868,0.91159,0.95354,0.59765,1.04435,5.71403,0.80714,0.006634,0.006634,0.006634
19,4282.45,1.24936,0.70205,1.18731,0.92412,0.91855,0.95381,0.59845,1.04132,5.74688,0.80606,0.006436,0.006436,0.006436
20,6421.31,1.24619,0.69346,1.18729,0.92773,0.91621,0.95435,0.59891,1.03925,5.78801,0.80525,0.006238,0.006238,0.006238
21,8572.51,1.23832,0.68762,1.18323,0.92882,0.9141,0.95446,0.59912,1.03742,5.82602,0.80478,0.00604,0.00604,0.00604
22,10737.6,1.23284,0.68191,1.17961,0.92886,0.91466,0.95418,0.59962,1.0356,5.91199,0.80392,0.005842,0.005842,0.005842
23,12877.3,1.22516,0.67279,1.17447,0.92828,0.91652,0.95441,0.60082,1.03373,5.90561,0.8033,0.005644,0.005644,0.005644
24,15019.6,1.2223,0.6676,1.17208,0.93618,0.91112,0.95525,0.60201,1.03202,5.82061,0.80272,0.005446,0.005446,0.005446
25,17166.4,1.2171,0.66267,1.17154,0.93556,0.91498,0.9558,0.60307,1.0307,5.69486,0.80218,0.005248,0.005248,0.005248
26,19330.3,1.21297,0.65758,1.16697,0.93742,0.91622,0.95659,0.60399,1.02886,5.63879,0.80108,0.00505,0.00505,0.00505
27,21488.1,1.20966,0.65007,1.16345,0.93703,0.91937,0.95771,0.6052,1.02696,5.49415,0.80028,0.004852,0.004852,0.004852
28,23651.7,1.20629,0.64773,1.16289,0.93791,0.92256,0.95895,0.60648,1.02558,5.30396,0.79957,0.004654,0.004654,0.004654
29,25813.7,1.19627,0.63778,1.15651,0.93876,0.92496,0.95928,0.60728,1.02377,5.11471,0.79873,0.004456,0.004456,0.004456
30,27973.9,1.19407,0.63507,1.15684,0.93614,0.92728,0.95949,0.60855,1.02252,4.96681,0.79824,0.004258,0.004258,0.004258
31,30126.1,1.18699,0.63077,1.15089,0.9396,0.92624,0.96043,0.61001,1.02093,4.80016,0.79761,0.00406,0.00406,0.00406
32,32276.3,1.18676,0.62553,1.14961,0.94103,0.92743,0.96105,0.61118,1.01939,4.73877,0.79687,0.003862,0.003862,0.003862
33,34434.5,1.18001,0.61878,1.14258,0.94582,0.92679,0.96164,0.61231,1.01714,4.62716,0.79604,0.003664,0.003664,0.003664
34,36598.5,1.17604,0.61574,1.14343,0.94796,0.92781,0.96227,0.6132,1.01569,4.46888,0.79549,0.003466,0.003466,0.003466
35,38759.2,1.17058,0.60935,1.14073,0.94766,0.92919,0.96288,0.61441,1.01391,4.32845,0.7948,0.003268,0.003268,0.003268
36,40938.9,1.16457,0.60262,1.13797,0.94841,0.92942,0.96338,0.61514,1.01297,4.17487,0.79429,0.00307,0.00307,0.00307
37,2172.94,1.15813,0.59578,1.13454,0.94838,0.93061,0.96365,0.61527,1.01243,4.16646,0.7941,0.002872,0.002872,0.002872
38,4313.09,1.15699,0.59474,1.13289,0.94823,0.93213,0.96409,0.61563,1.0112,4.1102,0.79365,0.002674,0.002674,0.002674
39,6454.94,1.15495,0.58943,1.13301,0.94851,0.93246,0.96445,0.61621,1.00966,4.04981,0.79337,0.002476,0.002476,0.002476
