epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,1277.31,3.7537,8.38689,2.57314,0.89237,0.86952,0.90395,0.42898,1.69038,1.90407,1.04972,0.00333235,0.00333235,0.00333235
2,2459.42,1.58366,0.87157,1.16376,0.93289,0.92967,0.96486,0.54552,1.41269,1.83885,0.93159,0.0065337,0.0065337,0.0065337
3,3689.13,1.49541,0.75734,1.12033,0.92416,0.93879,0.96168,0.56332,1.36059,2.94176,0.9059,0.00960305,0.00960305,0.00960305
4,4929.57,1.44371,0.69831,1.0964,0.93557,0.95995,0.97416,0.59353,1.26471,2.31033,0.88044,0.009406,0.009406,0.009406
5,6140.15,1.38998,0.64867,1.07601,0.93656,0.95288,0.97452,0.63208,1.18426,2.79564,0.86306,0.009208,0.009208,0.009208
6,7323.48,1.34201,0.6179,1.06204,0.94161,0.95132,0.97764,0.63445,1.1675,2.40541,0.86502,0.00901,0.00901,0.00901
7,8588.55,1.31512,0.59915,1.05103,0.94231,0.96625,0.97549,0.6303,1.16846,2.89682,0.86143,0.008812,0.008812,0.008812
8,9980.02,1.29824,0.58463,1.04515,0.9413,0.97178,0.9749,0.63767,1.15889,3.18617,0.85707,0.008614,0.008614,0.008614
9,11338.4,1.28972,0.57341,1.0424,0.94475,0.96895,0.97642,0.63973,1.14243,2.96436,0.85223,0.008416,0.008416,0.008416
10,12678.7,1.28138,0.56363,1.03782,0.95161,0.97008,0.97849,0.64787,1.13855,2.81402,0.85052,0.008218,0.008218,0.008218
11,14026.1,1.27465,0.56079,1.0372,0.95425,0.97506,0.97903,0.64944,1.1277,2.84546,0.84709,0.00802,0.00802,0.00802
12,15359.6,1.26265,0.55235,1.03309,0.95247,0.97834,0.97874,0.6506,1.1266,2.87264,0.84667,0.007822,0.007822,0.007822
13,16646.3,1.2557,0.54658,1.02951,0.95418,0.97695,0.97888,0.65625,1.12317,2.76475,0.84567,0.007624,0.007624,0.007624
14,17945.7,1.25392,0.5426,1.02805,0.95338,0.97711,0.98043,0.65913,1.11955,2.66635,0.84527,0.007426,0.007426,0.007426
15,19297,1.24318,0.53665,1.02436,0.95553,0.97667,0.98037,0.65894,1.11896,2.66722,0.84516,0.007228,0.007228,0.007228
16,20650.2,1.24125,0.53171,1.02458,0.95723,0.97634,0.98027,0.66039,1.11393,2.66907,0.84344,0.00703,0.00703,0.00703
17,21978,1.23658,0.52762,1.02255,0.95875,0.97517,0.98044,0.66155,1.11059,2.61413,0.84252,0.006832,0.006832,0.006832
18,23347.9,1.23199,0.52516,1.02152,0.95889,0.97553,0.98037,0.6627,1.10785,2.65362,0.84163,0.006634,0.006634,0.006634
19,24729.6,1.22119,0.51956,1.01789,0.95929,0.97534,0.98056,0.66319,1.1058,2.62617,0.84098,0.006436,0.006436,0.006436
20,26057.5,1.22358,0.51802,1.01705,0.96145,0.97515,0.98101,0.66371,1.10434,2.62204,0.84046,0.006238,0.006238,0.006238
21,27377.7,1.22187,0.51629,1.01803,0.96157,0.97578,0.98086,0.66414,1.10272,2.64593,0.84004,0.00604,0.00604,0.00604
22,28687.9,1.21493,0.51213,1.01724,0.96135,0.97678,0.98143,0.66415,1.10229,2.62186,0.83989,0.005842,0.005842,0.005842
