epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,1977.4,2.81291,3.87839,2.75426,0.91479,0.81975,0.89026,0.44919,1.50024,5.13616,1.02989,0.00333282,0.00333282,0.00333282
2,3896.25,1.63289,1.13502,1.44774,0.92074,0.87316,0.92529,0.52572,1.31347,7.33464,0.94697,0.00653416,0.00653416,0.00653416
3,5825.51,1.51791,1.00093,1.36448,0.90736,0.89178,0.93309,0.54627,1.26452,8.89068,0.92464,0.0096035,0.0096035,0.0096035
4,7770.19,1.4512,0.92543,1.32326,0.92582,0.90221,0.9459,0.56296,1.22398,7.78767,0.90887,0.009406,0.009406,0.009406
5,9703.65,1.38828,0.8469,1.28421,0.91873,0.91545,0.94792,0.58277,1.17708,7.54295,0.89543,0.009208,0.009208,0.009208
6,11668.5,1.35513,0.80715,1.2645,0.92296,0.92006,0.9491,0.58423,1.16431,7.67454,0.88972,0.00901,0.00901,0.00901
7,13618.6,1.33094,0.7779,1.25021,0.92601,0.92095,0.95111,0.58895,1.15179,7.27932,0.88463,0.008812,0.008812,0.008812
8,15589.8,1.3136,0.75397,1.23742,0.93023,0.91914,0.95204,0.5902,1.1495,7.09014,0.88346,0.008614,0.008614,0.008614
9,17545.8,1.29919,0.73833,1.23034,0.9313,0.9188,0.95304,0.59167,1.14587,7.19616,0.88155,0.008416,0.008416,0.008416
10,19506.4,1.28779,0.7239,1.22136,0.9331,0.9204,0.95454,0.59312,1.14433,7.23832,0.88045,0.008218,0.008218,0.008218
11,21462.6,1.28024,0.71466,1.21767,0.93417,0.92127,0.95548,0.59456,1.14336,7.23372,0.87934,0.00802,0.00802,0.00802
12,23431.7,1.2704,0.70518,1.2133,0.93307,0.9221,0.95577,0.59512,1.14129,7.3835,0.87805,0.007822,0.007822,0.007822
13,25387.7,1.26467,0.69371,1.20587,0.93346,0.92277,0.95643,0.59621,1.13904,7.41902,0.87674,0.007624,0.007624,0.007624
14,27342.7,1.25737,0.68726,1.20471,0.93499,0.9215,0.9565,0.5973,1.13601,7.42972,0.87527,0.007426,0.007426,0.007426
15,1984.5,1.26694,0.69696,1.20974,0.93381,0.92184,0.95663,0.59777,1.13341,7.41562,0.87457,0.007228,0.007228,0.007228
16,4130.01,1.26436,0.69272,1.20764,0.93452,0.92281,0.95702,0.59823,1.13064,7.38999,0.87387,0.00703,0.00703,0.00703
17,6095.51,1.25391,0.6832,1.20241,0.93452,0.92317,0.95739,0.59952,1.12767,7.3843,0.87278,0.006832,0.006832,0.006832
18,7969.46,1.24972,0.67693,1.20111,0.93434,0.92358,0.95757,0.60024,1.12509,7.32477,0.87185,0.006634,0.006634,0.006634
19,9911.31,1.24263,0.66989,1.19461,0.93373,0.92452,0.95752,0.60098,1.1224,7.34153,0.87067,0.006436,0.006436,0.006436
20,11943.8,1.2352,0.66198,1.19197,0.93442,0.92375,0.95745,0.60117,1.12055,7.3933,0.86977,0.006238,0.006238,0.006238
21,13891.6,1.22906,0.65543,1.18932,0.93539,0.92339,0.95769,0.60144,1.11857,7.38289,0.86875,0.00604,0.00604,0.00604
22,15762.6,1.22358,0.64946,1.18391,0.93588,0.92375,0.9581,0.6022,1.11662,7.35563,0.86766,0.005842,0.005842,0.005842
23,17626.6,1.21779,0.64396,1.18149,0.93636,0.92336,0.9584,0.60299,1.11415,7.35452,0.86668,0.005644,0.005644,0.005644
24,19478.3,1.21304,0.6393,1.17728,0.93477,0.92656,0.95878,0.60394,1.11236,7.34239,0.86577,0.005446,0.005446,0.005446
25,21342.5,1.21071,0.63405,1.17633,0.93576,0.92559,0.95932,0.60525,1.11053,7.28954,0.86503,0.005248,0.005248,0.005248
26,23219.3,1.20528,0.63006,1.17433,0.93591,0.92725,0.96015,0.60695,1.10801,7.21259,0.86399,0.00505,0.00505,0.00505
27,25064.5,1.2009,0.62371,1.16849,0.93596,0.92866,0.96103,0.60872,1.10557,7.11176,0.86292,0.004852,0.004852,0.004852
28,26917.3,1.1973,0.61951,1.16934,0.93734,0.92739,0.96146,0.61016,1.10299,7.03765,0.86187,0.004654,0.004654,0.004654
29,28766.5,1.19114,0.61313,1.16441,0.937,0.92874,0.96175,0.61157,1.10089,6.99536,0.8609,0.004456,0.004456,0.004456
30,30611,1.18782,0.60907,1.16408,0.93681,0.92865,0.96146,0.61244,1.09845,6.93964,0.8599,0.004258,0.004258,0.004258
31,32467.6,1.18197,0.60564,1.1606,0.93796,0.92848,0.96136,0.61356,1.09619,6.91354,0.85901,0.00406,0.00406,0.00406
32,34328.9,1.1767,0.59923,1.15559,0.93874,0.92874,0.96133,0.61424,1.0941,6.90517,0.85826,0.003862,0.003862,0.003862
33,36196.8,1.17165,0.59499,1.15391,0.93877,0.92965,0.96177,0.61453,1.09193,6.84641,0.85723,0.003664,0.003664,0.003664
34,38072.6,1.16922,0.59123,1.15157,0.93772,0.93107,0.96206,0.61601,1.0895,6.73184,0.85639,0.003466,0.003466,0.003466
35,39957.8,1.16348,0.58568,1.14908,0.93822,0.93258,0.96228,0.61633,1.08751,6.58356,0.85551,0.003268,0.003268,0.003268
36,1912.08,1.16155,0.58185,1.14806,0.93875,0.93154,0.9615,0.61598,1.08582,6.62352,0.85527,0.00307,0.00307,0.00307
37,3828.88,1.15895,0.57981,1.14663,0.93932,0.93229,0.96108,0.61624,1.08436,6.65708,0.85482,0.002872,0.002872,0.002872
38,5743,1.15108,0.57475,1.14482,0.93974,0.93243,0.96118,0.61691,1.08334,6.70877,0.85452,0.002674,0.002674,0.002674
