epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,664.111,1.45948,1.21427,1.33886,0.52771,0.47478,0.44768,0.19589,1.93005,1.81634,1.82866,0.0700253,0.00333052,0.00333052
2,1314.89,1.3766,1.03904,1.30643,0.84717,0.82858,0.84586,0.42775,1.5596,0.98937,1.53489,0.0399593,0.00659788,0.00659788
3,1954.43,1.28455,0.92702,1.25018,0.90578,0.7979,0.88123,0.46642,1.4837,0.92803,1.50626,0.00982737,0.00979924,0.00979924
4,2592.09,1.23756,0.85932,1.221,0.90275,0.88555,0.91906,0.50386,1.43907,0.77954,1.47696,0.009703,0.009703,0.009703
5,3230,1.19038,0.80393,1.19005,0.92071,0.86218,0.91676,0.50113,1.44712,0.7372,1.47055,0.009604,0.009604,0.009604
6,3868.44,1.1436,0.75846,1.16816,0.9259,0.89731,0.9314,0.52894,1.38635,0.66121,1.41755,0.009505,0.009505,0.009505
7,4506.92,1.12133,0.72978,1.15236,0.92506,0.89573,0.93018,0.53665,1.3744,0.64235,1.41584,0.009406,0.009406,0.009406
8,5145.36,1.1006,0.70178,1.14122,0.91364,0.89282,0.93553,0.5472,1.32619,0.64442,1.38621,0.009307,0.009307,0.009307
9,5783.17,1.08525,0.68358,1.13435,0.94234,0.91433,0.942,0.55467,1.34567,0.58453,1.39203,0.009208,0.009208,0.009208
10,6421.51,1.06853,0.66774,1.12397,0.94222,0.91349,0.94162,0.56155,1.32239,0.57395,1.36205,0.009109,0.009109,0.009109
11,7059.53,1.05359,0.6496,1.10994,0.94834,0.90995,0.94562,0.55906,1.32249,0.56611,1.37425,0.00901,0.00901,0.00901
12,7697.46,1.04323,0.64294,1.10916,0.94871,0.90816,0.94721,0.56661,1.32087,0.55885,1.38124,0.008911,0.008911,0.008911
13,8336.09,1.03233,0.62976,1.10447,0.95126,0.91603,0.94972,0.57712,1.29868,0.54341,1.35991,0.008812,0.008812,0.008812
14,8974.9,1.02703,0.62134,1.0995,0.95424,0.93243,0.95316,0.56981,1.3016,0.52748,1.36069,0.008713,0.008713,0.008713
15,9615.51,1.01615,0.61505,1.09112,0.95223,0.93256,0.95117,0.57617,1.28971,0.52236,1.35786,0.008614,0.008614,0.008614
16,10254.9,1.01468,0.609,1.09009,0.94871,0.93503,0.95389,0.58094,1.28693,0.51719,1.35238,0.008515,0.008515,0.008515
