epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,1182.91,1.48152,1.28933,1.44347,0.53748,0.52303,0.44445,0.19277,1.91162,2.19385,1.90502,0.0700253,0.00333052,0.00333052
2,2350.42,1.38964,1.08196,1.39968,0.76973,0.77385,0.76715,0.39373,1.54689,1.15613,1.62176,0.0399593,0.00659788,0.00659788
3,3506.94,1.29276,0.94848,1.32927,0.87458,0.76874,0.86345,0.44461,1.58755,0.93728,1.63155,0.00982737,0.00979924,0.00979924
4,4663.51,1.24009,0.87267,1.29408,0.8233,0.81988,0.87147,0.44595,1.56642,0.83467,1.60599,0.009703,0.009703,0.009703
5,5819.71,1.19125,0.8075,1.25407,0.91175,0.87131,0.91782,0.50716,1.44274,0.72869,1.52152,0.009604,0.009604,0.009604
6,6973.23,1.14212,0.75959,1.22784,0.91703,0.84251,0.9088,0.4983,1.44136,0.73368,1.54661,0.009505,0.009505,0.009505
7,8129.1,1.11816,0.73166,1.20994,0.90952,0.88805,0.93038,0.51901,1.41753,0.66631,1.50078,0.009406,0.009406,0.009406
8,9282.32,1.09325,0.69642,1.19167,0.90506,0.89403,0.92447,0.51391,1.44673,0.64879,1.56504,0.009307,0.009307,0.009307
9,10440.2,1.07881,0.68459,1.18562,0.88201,0.87994,0.90751,0.48355,1.45191,0.67738,1.5396,0.009208,0.009208,0.009208
10,11598.2,1.06082,0.66268,1.1729,0.81376,0.8148,0.81968,0.45184,1.48696,0.73345,1.57448,0.009109,0.009109,0.009109
11,12756.8,1.03876,0.64181,1.1549,0.80727,0.83777,0.81398,0.46104,1.47071,0.73582,1.57042,0.00901,0.00901,0.00901
12,13912.9,1.0304,0.63442,1.14984,0.81025,0.83582,0.79653,0.4491,1.48735,0.73756,1.59377,0.008911,0.008911,0.008911
13,15068.4,1.02219,0.61909,1.14444,0.82115,0.8368,0.81715,0.4617,1.44722,0.7387,1.55901,0.008812,0.008812,0.008812
14,16222.9,1.00897,0.60712,1.13815,0.80421,0.83096,0.80293,0.45113,1.45654,0.73533,1.55457,0.008713,0.008713,0.008713
15,17379.1,0.99502,0.59795,1.12454,0.80423,0.82805,0.80113,0.45545,1.46069,0.72642,1.5588,0.008614,0.008614,0.008614
16,18533.3,0.9954,0.59668,1.12292,0.81535,0.81614,0.80579,0.46573,1.45748,0.75306,1.54751,0.008515,0.008515,0.008515
17,19686.1,0.97861,0.58157,1.1144,0.84551,0.80459,0.82717,0.47586,1.44839,0.75862,1.55657,0.008416,0.008416,0.008416
18,20838.7,0.97511,0.57595,1.11453,0.84815,0.8009,0.82999,0.48052,1.44524,0.77549,1.55418,0.008317,0.008317,0.008317
19,21990.4,0.97113,0.57002,1.10769,0.84934,0.79812,0.8373,0.48791,1.44202,0.7975,1.54616,0.008218,0.008218,0.008218
20,23141.5,0.95871,0.55924,1.10558,0.84516,0.81079,0.84492,0.49522,1.43905,0.82162,1.53883,0.008119,0.008119,0.008119
21,24289.1,0.95705,0.55621,1.10594,0.85112,0.80265,0.84685,0.49694,1.43586,0.84677,1.53826,0.00802,0.00802,0.00802
22,25437.9,0.94709,0.54636,1.10059,0.85717,0.80119,0.85339,0.50131,1.43484,0.85975,1.53529,0.007921,0.007921,0.007921
23,26585,0.94292,0.54284,1.10052,0.85163,0.79516,0.84995,0.50122,1.43233,0.87115,1.53224,0.007822,0.007822,0.007822
24,27730.8,0.93603,0.53982,1.09236,0.85811,0.79341,0.85004,0.50403,1.42753,0.87286,1.52828,0.007723,0.007723,0.007723
25,28875.9,0.9333,0.53466,1.08785,0.8601,0.79569,0.85091,0.50397,1.42728,0.87911,1.52984,0.007624,0.007624,0.007624
26,30020,0.93079,0.53463,1.09142,0.87293,0.78393,0.86362,0.52224,1.42632,0.95872,1.53247,0.007525,0.007525,0.007525
27,31165.3,0.92181,0.52767,1.08457,0.68282,0.77725,0.75721,0.47536,1.47464,2.15244,1.57974,0.007426,0.007426,0.007426
