epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,661.095,1.4014,1.17327,1.27764,0.74361,0.70288,0.73817,0.33343,1.80173,1.57058,1.67565,0.0700253,0.00333052,0.00333052
2,1312.77,1.33016,0.96151,1.25491,0.91443,0.8165,0.8944,0.47112,1.54391,0.84375,1.46425,0.0399593,0.00659788,0.00659788
3,1958.37,1.24878,0.86137,1.21002,0.87976,0.8255,0.89422,0.47931,1.48654,0.87058,1.44701,0.00982737,0.00979924,0.00979924
4,2603.16,1.19173,0.79946,1.17776,0.93319,0.87568,0.93173,0.52804,1.40709,0.69731,1.41442,0.009703,0.009703,0.009703
5,3247.17,1.14379,0.73474,1.14842,0.92326,0.8741,0.91954,0.51208,1.43927,0.7005,1.4036,0.009604,0.009604,0.009604
6,3892.31,1.09618,0.69486,1.12801,0.92512,0.88711,0.9256,0.51198,1.43986,0.65652,1.42523,0.009505,0.009505,0.009505
7,4536.23,1.07213,0.66934,1.11295,0.93106,0.91068,0.93846,0.54972,1.33482,0.62381,1.34511,0.009406,0.009406,0.009406
8,5180.3,1.05009,0.64208,1.09969,0.92607,0.8737,0.93791,0.54668,1.33239,0.59007,1.36894,0.009307,0.009307,0.009307
9,5824.36,1.03351,0.626,1.09412,0.93865,0.89379,0.94064,0.55119,1.33258,0.57428,1.34946,0.009208,0.009208,0.009208
10,6469.47,1.01773,0.60866,1.08804,0.95205,0.92162,0.94624,0.56838,1.30087,0.53713,1.32381,0.009109,0.009109,0.009109
11,7114.14,0.99869,0.59107,1.07391,0.94336,0.92952,0.94622,0.56494,1.31003,0.53182,1.34124,0.00901,0.00901,0.00901
12,7758.87,0.98752,0.58543,1.07042,0.94554,0.91989,0.9452,0.57122,1.3041,0.52531,1.33023,0.008911,0.008911,0.008911
13,8404.5,0.97934,0.57115,1.06809,0.95339,0.92782,0.94916,0.57581,1.28478,0.50569,1.32187,0.008812,0.008812,0.008812
14,9050.86,0.9715,0.56287,1.06111,0.89279,0.93231,0.94412,0.5737,1.28239,0.53175,1.32123,0.008713,0.008713,0.008713
15,9696.79,0.95665,0.55471,1.05342,0.9571,0.93098,0.95196,0.58716,1.26686,0.49315,1.30416,0.008614,0.008614,0.008614
16,10342.5,0.95328,0.54637,1.0477,0.95626,0.93073,0.9519,0.58675,1.26442,0.48901,1.30542,0.008515,0.008515,0.008515
17,10988.3,0.93908,0.53627,1.04168,0.95378,0.93283,0.95278,0.58921,1.27069,0.48667,1.30706,0.008416,0.008416,0.008416
18,11633.5,0.93648,0.53026,1.04235,0.95356,0.92578,0.95356,0.59296,1.26609,0.49175,1.3077,0.008317,0.008317,0.008317
19,12278.3,0.93109,0.52852,1.03638,0.96029,0.92697,0.95344,0.59273,1.26242,0.48822,1.3042,0.008218,0.008218,0.008218
20,12922.6,0.923,0.5191,1.03355,0.95897,0.93657,0.95531,0.59754,1.25633,0.47944,1.29635,0.008119,0.008119,0.008119
21,13566.5,0.91753,0.51774,1.03317,0.95867,0.93608,0.95447,0.59758,1.25666,0.47877,1.297,0.00802,0.00802,0.00802
22,14210.4,0.90835,0.507,1.02719,0.96112,0.92794,0.95423,0.59499,1.26903,0.49509,1.29876,0.007921,0.007921,0.007921
23,14855.7,0.90395,0.50072,1.02665,0.93559,0.93554,0.94638,0.56742,1.27119,0.5434,1.29945,0.007822,0.007822,0.007822
24,15501.6,0.9004,0.49993,1.02186,0.78516,0.92575,0.86182,0.50629,1.2804,0.65371,1.31044,0.007723,0.007723,0.007723
25,16147,0.89631,0.49735,1.01936,0.78232,0.92478,0.86155,0.50693,1.27923,0.65106,1.30798,0.007624,0.007624,0.007624
26,16792.4,0.89036,0.49107,1.01833,0.76335,0.92232,0.85302,0.50508,1.27704,0.65866,1.31121,0.007525,0.007525,0.007525
27,17437.7,0.88572,0.48794,1.01789,0.75493,0.91753,0.85153,0.50002,1.29819,0.66451,1.31739,0.007426,0.007426,0.007426
28,18083.4,0.88342,0.48239,1.01455,0.72413,0.91579,0.84608,0.49277,1.34832,0.69525,1.33379,0.007327,0.007327,0.007327
29,18729.5,0.87217,0.47625,1.00577,0.72417,0.91554,0.84662,0.49336,1.34718,0.69381,1.33183,0.007228,0.007228,0.007228
30,19376,0.8704,0.47333,1.00698,0.72776,0.91639,0.84852,0.49469,1.34595,0.69173,1.33123,0.007129,0.007129,0.007129
31,20022.1,0.86306,0.46979,1.00713,0.72388,0.91493,0.8488,0.49501,1.35427,0.69052,1.33748,0.00703,0.00703,0.00703
32,20668.6,0.86491,0.46702,1.00452,0.7026,0.91698,0.83766,0.48791,1.34857,0.73066,1.33392,0.006931,0.006931,0.006931
33,21312.9,0.85887,0.46431,1.00288,0.70345,0.91542,0.837,0.48862,1.34757,0.72996,1.33263,0.006832,0.006832,0.006832
34,21957.8,0.86095,0.46288,1.0028,0.70806,0.91481,0.83933,0.49045,1.3459,0.72291,1.33038,0.006733,0.006733,0.006733
35,22602.1,0.85766,0.46129,0.99971,0.70198,0.91238,0.83927,0.49014,1.34172,0.72149,1.32736,0.006634,0.006634,0.006634
36,23247.2,0.8514,0.45675,0.99824,0.70421,0.91047,0.83917,0.49068,1.34058,0.72041,1.3257,0.006535,0.006535,0.006535
37,23891.1,0.84673,0.45375,0.99497,0.69688,0.90679,0.83304,0.48769,1.3479,0.73488,1.33075,0.006436,0.006436,0.006436
38,24536.5,0.84843,0.4509,0.99737,0.68002,0.89039,0.83601,0.46032,1.42893,0.81037,1.35688,0.006337,0.006337,0.006337
39,25182,0.84198,0.44891,0.99402,0.68491,0.89063,0.83771,0.46158,1.42725,0.80792,1.3554,0.006238,0.006238,0.006238
40,25827.2,0.84013,0.44707,0.99557,0.68008,0.884,0.83584,0.45797,1.46198,0.8069,1.36794,0.006139,0.006139,0.006139
41,26472.3,0.83506,0.4453,0.99158,0.6714,0.87167,0.83125,0.45131,1.49426,0.80749,1.38143,0.00604,0.00604,0.00604
42,27117.4,0.82826,0.43744,0.98872,0.66937,0.87252,0.82983,0.45014,1.49896,0.80713,1.38163,0.005941,0.005941,0.005941
43,27762.7,0.83664,0.44251,0.98778,0.66813,0.86679,0.82854,0.44748,1.51693,0.8057,1.38936,0.005842,0.005842,0.005842
44,28407.9,0.83935,0.44634,0.9804,0.66595,0.83996,0.81377,0.4387,1.56847,0.81238,1.41465,0.005743,0.005743,0.005743
45,29052.6,0.84163,0.44573,0.98176,0.61274,0.82841,0.77362,0.41653,1.58977,0.83236,1.42704,0.005644,0.005644,0.005644
46,29697.9,0.83647,0.44231,0.9792,0.61288,0.82793,0.77321,0.41708,1.59013,0.82639,1.4267,0.005545,0.005545,0.005545
47,30342.6,0.83787,0.44219,0.97867,0.60957,0.80824,0.76625,0.41459,1.59479,0.82689,1.42833,0.005446,0.005446,0.005446
48,30987.8,0.83127,0.43889,0.97405,0.60966,0.80646,0.76632,0.41531,1.59326,0.82244,1.42787,0.005347,0.005347,0.005347
49,31633.2,0.83017,0.43771,0.97594,0.62657,0.62085,0.70461,0.3879,1.58792,0.87376,1.43383,0.005248,0.005248,0.005248
50,32278.3,0.82532,0.43515,0.96915,0.62576,0.62219,0.70535,0.38937,1.58186,0.88944,1.42606,0.005149,0.005149,0.005149
51,32923.3,0.82562,0.43326,0.97283,0.6273,0.62207,0.7058,0.39003,1.57792,0.88493,1.43078,0.00505,0.00505,0.00505
52,33569.1,0.82097,0.42647,0.96587,0.4385,0.84227,0.58007,0.29669,1.60915,1.1555,1.45261,0.004951,0.004951,0.004951
53,34214,0.81676,0.42386,0.96872,0.41967,0.83801,0.54909,0.27962,1.63597,1.18463,1.45114,0.004852,0.004852,0.004852
54,34858.4,0.81527,0.42419,0.96468,0.40595,0.81833,0.5371,0.27274,1.6871,1.18908,1.49166,0.004753,0.004753,0.004753
55,35503,0.81713,0.42229,0.96687,0.3503,0.80409,0.49468,0.24654,1.71759,1.22568,1.49698,0.004654,0.004654,0.004654
56,36148.3,0.8147,0.42212,0.96563,0.33601,0.78442,0.46797,0.23185,1.72914,1.26687,1.50409,0.004555,0.004555,0.004555
57,36793.6,0.81113,0.42005,0.96477,0.33568,0.78454,0.46864,0.23327,1.71882,1.26727,1.50305,0.004456,0.004456,0.004456
